start_date,end_date
2018-10-09,2018-10-09
2018-10-12,2018-10-12
2018-10-20,2018-10-20
2018-10-27,2018-10-27
2018-10-30,2018-11-03
2018-11-05,2019-02-12
2019-02-19,2019-02-20
2019-02-23,2019-02-23
2019-02-27,2019-02-28
2019-03-05,2019-03-05
2019-03-07,2019-03-07
2019-03-10,2019-03-10
2019-03-12,2019-03-12
2019-03-14,2019-03-14
2019-03-16,2019-03-19
2019-03-23,2019-03-23
2019-04-09,2019-04-11
2019-05-02,2019-05-03
2019-05-07,2019-05-07
2019-05-11,2019-05-11
2019-05-24,2019-05-24
2019-06-02,2019-06-02
2019-06-27,2019-06-27
2019-07-05,2019-07-05
2019-07-09,2019-07-09
2019-07-19,2019-07-19
2019-07-31,2019-07-31
2019-08-02,2019-08-02
2019-08-09,2019-08-09
2019-08-19,2019-08-19
2019-08-21,2019-08-21
2019-08-26,2019-08-26
2019-09-03,2019-09-03
2019-09-13,2019-09-13
2019-09-15,2019-09-15
2019-09-17,2019-09-18
2019-09-21,2019-09-21
2019-09-25,2019-09-27
2019-09-29,2019-09-30
2019-10-03,2019-10-05
2019-10-09,2019-10-11
2019-10-14,2019-10-14
2019-10-16,2019-10-19
2019-10-21,2019-10-22
2019-10-26,2019-10-27
2019-10-30,2020-02-13
2020-02-15,2020-02-16
2020-02-18,2020-02-18
2020-02-20,2020-02-20
2020-02-22,2020-02-23
2020-02-26,2020-02-26
2020-02-28,2020-02-28
2020-03-01,2020-03-05
2020-03-07,2020-03-07
2020-03-11,2020-03-12
2020-03-16,2020-03-16
2020-03-18,2020-03-18
2020-04-02,2020-04-02
2020-04-06,2020-04-06
2020-04-09,2020-04-09
2020-04-12,2020-04-13
2020-04-16,2020-04-16
2020-04-24,2020-04-24
2020-04-28,2020-04-29
2020-05-03,2020-05-03
2020-05-16,2020-05-16
2020-05-21,2020-05-21
2020-05-28,2020-05-28
2020-06-04,2020-06-04
2020-06-06,2020-06-06
2020-06-08,2020-06-08
2020-06-10,2020-06-11
2020-06-30,2020-07-01
2020-07-05,2020-07-05
2020-07-25,2020-07-25
2020-07-28,2020-07-29
2020-08-04,2020-08-04
2020-08-27,2020-08-27
2020-09-02,2020-09-02
2020-09-05,2020-09-05
2020-09-10,2020-09-11
2020-09-22,2020-09-22
2020-09-30,2020-09-30
2020-10-04,2020-10-04
2020-10-06,2020-10-06
2020-10-08,2020-10-08
2020-10-11,2020-10-11
2020-10-18,2020-10-19
2020-10-21,2020-10-23
2020-10-26,2020-10-27
2020-10-29,2020-10-30
2020-11-03,2021-02-16
2021-02-18,2021-02-25
2021-03-01,2021-03-01
2021-03-09,2021-03-09
2021-03-11,2021-03-12
2021-03-14,2021-03-16
2021-03-18,2021-03-20
2021-03-26,2021-03-26
2021-03-30,2021-03-31
2021-04-04,2021-04-05
2021-04-12,2021-04-13
2021-04-25,2021-04-27
2021-05-03,2021-05-04
2021-05-06,2021-05-06
2021-05-08,2021-05-08
2021-05-10,2021-05-10
2021-05-17,2021-05-17
2021-05-20,2021-05-20
2021-05-23,2021-05-23
2021-05-26,2021-05-26
2021-06-13,2021-06-13
2021-06-24,2021-06-24
2021-07-28,2021-07-28
2021-08-02,2021-08-02
2021-08-07,2021-08-07
2021-08-14,2021-08-14
2021-08-19,2021-08-19
2021-08-23,2021-08-27
2021-08-29,2021-08-29
2021-09-08,2021-09-08
2021-09-11,2021-09-13
2021-09-15,2021-09-16
2021-09-23,2021-09-25
2021-09-28,2021-09-29
2021-10-01,2021-10-01
2021-10-05,2021-10-05
2021-10-09,2021-10-10
2021-10-15,2021-10-15
2021-10-18,2021-10-18
2021-10-20,2021-10-20
2021-10-22,2021-10-23
2021-10-25,2021-10-25
2021-10-30,2021-10-30
2021-11-01,2021-11-01
2021-11-03,2022-02-10
2022-02-12,2022-02-15
2022-02-17,2022-02-17
2022-02-19,2022-02-19
2022-02-21,2022-02-25
2022-02-27,2022-02-27
2022-03-02,2022-03-02
2022-03-07,2022-03-08
2022-03-11,2022-03-11
2022-03-19,2022-03-19
2022-03-25,2022-03-26
2022-03-28,2022-03-28
2022-04-05,2022-04-05
2022-04-07,2022-04-08
2022-04-14,2022-04-14
2022-04-25,2022-04-25
2022-05-05,2022-05-05
2022-05-11,2022-05-12
2022-05-19,2022-05-19
2022-05-26,2022-05-27
2022-05-29,2022-05-29
